trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
100,50,8,1,0.4,0.4,288.397,96.627,48.756,77.866,59.287,34.991,40.848,38.295,39.183,44.892,76.9142,0.0788500118255615
100,None,8,1,0.4,0.4,289.395,96.337,49.235,80.303,62.758,34.695,40.735,39.949,39.848,44.657,77.7912,0.0793830418586731
10,10,2,2,0.4,0.4,284.089,95.449,49.763,78.583,58.593,35.649,40.235,40.713,38.168,46.736,76.7978,0.0105787467956543
10,30,2,2,0.4,0.4,282.236,93.655,49.091,77.548,62.484,35.47,38.855,39.85,38.988,49.449,76.7626,0.0107016038894653
10,50,2,2,0.4,0.4,279.277,93.864,49.636,80.259,60.71,34.83,40.948,42.286,37.342,50.462,76.9614,0.0105332660675049
10,None,2,2,0.4,0.4,281.465,96.388,49.171,74.192,63.586,34.801,40.709,38.794,38.733,47.623,76.5462,0.0105808234214783
30,10,2,2,0.4,0.4,287.585,94.921,46.881,77.517,60.496,32.031,38.221,38.104,34.823,44.68,75.5259,0.0262992334365845
30,30,2,2,0.4,0.4,281.362,93.396,47.733,75.975,59.658,32.1,37.908,36.407,37.381,43.58,74.55,0.0263225317001343
30,50,2,2,0.4,0.4,288.452,93.073,47.486,75.091,59.889,32.122,36.994,38.026,36.189,43.761,75.1083,0.0261531257629395
30,None,2,2,0.4,0.4,285.103,93.16,47.084,77.967,60.734,32.265,38.128,37.252,35.859,44.426,75.1978,0.0263749837875366
50,10,2,2,0.4,0.4,287.046,93.355,46.894,76.19,58.165,32.446,37.295,36.969,36.293,42.726,74.7379,0.0418942451477051
50,30,2,2,0.4,0.4,284.962,94.045,46.608,78.29,59.137,31.246,37.835,36.892,36.815,43.256,74.9086,0.0420577645301819
50,50,2,2,0.4,0.4,285.857,92.737,46.969,77.523,58.155,31.897,37.762,36.776,34.271,41.978,74.3925,0.0417205142974854
50,None,2,2,0.4,0.4,287.456,93.388,46.9,78.662,58.366,32.465,37.91,37.492,35.634,42.177,75.045,0.0421853494644165
100,10,2,2,0.4,0.4,285.581,93.487,46.827,76.779,59.063,30.961,36.889,37.045,35.548,41.968,74.4148,0.0809775567054749
100,30,2,2,0.4,0.4,283.684,93.575,46.623,77.351,58.361,31.712,36.61,36.397,35.196,41.866,74.1375,0.0808974409103394
100,50,2,2,0.4,0.4,284.814,93.176,46.307,77.244,59.871,31.444,36.86,36.602,35.26,42.278,74.3856,0.0809488940238953
100,None,2,2,0.4,0.4,285.419,92.963,46.432,78.1,59.535,31.956,37.069,36.145,35.607,42.2,74.5426,0.0811778926849365
10,10,4,2,0.4,0.4,287.161,93.908,49.273,77.055,61.88,35.958,39.682,40.95,38.039,47.613,77.1519,0.0105840969085693
10,30,4,2,0.4,0.4,280.885,97.469,49.029,83.703,67.552,36.612,38.16,41.489,37.95,47.179,78.0028,0.0105851793289185
10,50,4,2,0.4,0.4,283.803,91.17,49.118,78.084,60.877,34.042,40.466,40.988,38.524,49.943,76.7015,0.0107410025596619
10,None,4,2,0.4,0.4,288.837,93.848,47.845,74.648,60.487,35.122,39.781,42.47,37.432,45.799,76.6269,0.0105671882629395
30,10,4,2,0.4,0.4,282.833,95.663,47.443,78.08,61.213,31.858,37.135,38.422,34.97,44.188,75.1805,0.026425998210907
30,30,4,2,0.4,0.4,283.945,93.365,47.61,76.299,58.522,33.05,38.549,37.424,36.003,42.879,74.7646,0.0262122392654419
30,50,4,2,0.4,0.4,288.217,92.806,47.023,74.972,60.311,33.095,37.738,37.298,35.01,44.6,75.107,0.0263795614242554
30,None,4,2,0.4,0.4,285.024,93.649,47.853,79.588,58.431,31.787,37.423,38.201,36.12,43.453,75.1529,0.0265037989616394
50,10,4,2,0.4,0.4,285.434,93.793,47.082,79.012,58.479,31.938,37.694,38.227,35.501,43.363,75.0523,0.041880304813385
50,30,4,2,0.4,0.4,286.378,94.107,46.789,76.447,59.977,32.033,37.105,37.277,35.293,43.097,74.8503,0.0421167469024658
50,50,4,2,0.4,0.4,286.449,94.764,47.053,76.926,58.967,31.458,36.458,36.523,35.393,43.819,74.781,0.042070050239563
50,None,4,2,0.4,0.4,286.069,91.96,47.116,75.192,60.182,31.789,37.014,36.817,37.249,42.538,74.5926,0.0423619508743286
100,10,4,2,0.4,0.4,286.328,92.874,46.575,76.585,58.714,31.486,36.656,36.748,35.812,42.214,74.3992,0.0809219741821289
100,30,4,2,0.4,0.4,285.217,92.783,46.428,77.019,59.772,31.564,36.596,36.153,35.503,41.768,74.2803,0.0810720586776733
100,50,4,2,0.4,0.4,285.027,93.284,46.197,76.43,60.14,31.52,36.64,36.462,35.453,41.67,74.2823,0.0811629390716553
100,None,4,2,0.4,0.4,283.176,94.639,46.813,77.88,59.644,31.353,36.924,36.323,35.272,41.816,74.384,0.0812656021118164
10,10,6,2,0.4,0.4,276.054,97.728,49.44,79.595,62.205,37.686,41.184,44.145,40.817,48.438,77.7292,0.0107441401481628
10,30,6,2,0.4,0.4,285.197,96.203,50.431,79.926,60.446,35.507,41.376,42.969,39.398,47.278,77.8731,0.010474681854248
10,50,6,2,0.4,0.4,286.222,98.08,49.862,82.893,63.084,35.181,40.554,42.792,39.2,48.575,78.6443,0.0105371308326721
10,None,6,2,0.4,0.4,288.028,97.575,50.632,76.889,61.455,35.184,41.281,42.107,40.924,49.753,78.3828,0.0107372999191284
